Id;Localidad;Femenino;Masculino
1;Usaquén;12123;10657
2;Chapinero;4312;4251
3;Santa Fe;3110;3268
4;San Cristobal;9704;8969
5;Usme;7846;6673
6;Tunjuelito;5057;4872
7;Bosa;16120;14213
8;Kennedy;25701;23375
9;Fontibón;9201;8290
10;Engativá;20777;18953
11;Suba;26839;23523
12;Barrios Unidos;4282;3211
13;Teusaquillo;3710;2647
14;Los Mártires;2360;2645
15;Antonio Nariño;2726;2471
16;Puente Aranda;7299;7932
17;La candelaria;699;916
18;Rafael Uribe;8867;9604
19;Ciudad Bolivar;13289;11758
20;Sumapaz;5;0
21;Fuera de bogota;1313;1691
22;Sin Dato;15617;15542
